generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
37,0.7033202875923691,0.7166509244929442,0.03525423656643154,2.547184722943378,100.0,152,147,154,148,149,150
38,0.7033535847388909,0.7166509244929442,0.035541750032934645,2.547184722943378,100.0,154,148,150,149,151,148
39,0.7036469966930474,0.7166509244929442,0.03528010901292454,2.542740278498934,99.33333333333333,150,150,149,152,150,149
40,0.7078540121182219,0.7166509244929442,0.027731866607610543,2.5582958340544892,100.0,152,152,149,149,148,150
41,0.7028220056844426,0.7166509244929442,0.03492328275749799,2.542740278498934,100.0,151,149,150,150,151,149
42,0.7019226922761894,0.7166509244929442,0.03477077064466192,2.533851389610045,100.0,152,149,149,151,150,149
43,0.7068046799462554,0.7166509244929442,0.030157147959615844,2.553851389610045,100.0,152,150,149,149,152,148
44,0.706181072451217,0.7166509244929442,0.03045638311041393,2.5516291673878233,100.0,152,150,151,151,147,149
45,0.7047205515294511,0.7166509244929442,0.033164565024031194,2.547184722943378,100.0,153,151,147,151,151,147
46,0.7015486034405524,0.7166509244929442,0.03737018734525409,2.533851389610045,100.0,153,149,151,152,148,147
47,0.7055739528552697,0.7166509244929442,0.029352151382184936,2.5427402784989335,100.0,147,149,153,157,149,145
48,0.7042154087624287,0.7166509244929442,0.032414705189979076,2.5427402784989335,100.0,152,147,147,155,148,151
49,0.7037701312789105,0.7166509244929442,0.03331223925530968,2.547184722943378,100.0,149,153,147,151,152,148
50,0.700413057021823,0.7166509244929442,0.0354295484024792,2.5405180562767113,100.0,151,157,147,151,148,146
51,0.7036828619361173,0.7166509244929442,0.03608184230405799,2.5449625007211556,100.0,153,150,152,150,145,150
52,0.7022190075416473,0.7166509244929442,0.03671047201586722,2.542740278498934,100.0,157,150,150,146,151,146
53,0.7028827680339573,0.7166509244929442,0.0337989890868648,2.5405180562767113,100.0,155,152,150,148,148,147
54,0.7012829150791867,0.7166509244929442,0.035571325244370997,2.538295834054489,100.0,150,152,149,152,153,144
55,0.703620601025318,0.7166509244929442,0.03401903764171911,2.542740278498934,100.0,148,152,146,150,153,151
56,0.704972428842093,0.7166509244929442,0.029925699319997605,2.547184722943378,100.0,153,149,145,154,151,148
57,0.7060081146919158,0.7166509244929442,0.030711457185972905,2.547184722943378,100.0,149,153,148,152,148,150
58,0.7062817037846777,0.7166509244929442,0.030086282045545348,2.551629167387823,100.0,150,149,148,151,151,151
59,0.7014899019625312,0.7166509244929442,0.03651925037842899,2.538295834054489,100.0,151,149,154,151,145,150
60,0.7049674956365534,0.7166509244929442,0.031760195841633476,2.547184722943378,100.0,149,155,151,150,150,145
61,0.7076222210615158,0.7166509244929442,0.027378301884692837,2.5516291673878224,100.0,151,154,146,150,149,150
62,0.7076451758442807,0.7166509244929442,0.028499226854789082,2.553851389610045,100.0,149,152,150,149,152,148
63,0.706589461674349,0.7166509244929442,0.03134158260290553,2.553851389610045,100.0,152,149,148,151,150,150
64,0.706527087405038,0.7166509244929442,0.03026783172836336,2.5494069451656007,100.0,148,148,151,154,150,149
65,0.7020016884929364,0.7210142548064484,0.03292786803437931,2.538295834054489,100.0,146,152,147,159,151,145
66,0.7024067132593301,0.7210142548064484,0.03525581014334211,2.542740278498934,100.0,148,154,149,152,149,148
67,0.7024345490238229,0.7210142548064484,0.03822556284639021,2.538295834054489,100.0,155,154,147,146,148,150
68,0.7055236943111903,0.7210142548064484,0.030790047850417453,2.542740278498934,100.0,149,154,149,147,149,152
69,0.7066375468766666,0.7210142548064484,0.031821946861222056,2.547184722943378,100.0,154,149,148,149,153,147
70,0.7020187950947424,0.7210142548064484,0.037986667981799546,2.538295834054489,100.0,155,151,145,150,150,149
71,0.7063525650052823,0.7210142548064484,0.0332849084885435,2.5427402784989335,100.0,145,155,148,153,147,152
72,0.7071770628784847,0.7210142548064484,0.03457954681554125,2.5405180562767113,100.0,156,153,145,150,147,149
73,0.7060726122613908,0.7210142548064484,0.036939446078602944,2.533012625718752,100.0,149,156,149,150,149,147
74,0.7056410160832693,0.7210142548064484,0.038215188341801314,2.5405180562767113,100.0,148,150,149,149,154,150
75,0.709253845353226,0.7210142548064484,0.033326760935312116,2.547184722943378,100.0,152,149,152,152,146,149
76,0.7061435131562501,0.7210142548064484,0.035037162623788885,2.5405180562767113,100.0,148,154,150,146,152,150
77,0.7095492537298842,0.7210142548064484,0.03229557915882227,2.551629167387823,100.0,153,156,150,147,147,147
78,0.7111459349534913,0.7210142548064484,0.031417196937058016,2.5582958340544892,100.0,153,152,149,147,152,147
79,0.70792575565761,0.7210142548064484,0.03386994125297042,2.5449625007211556,100.0,154,153,146,152,148,147
80,0.7062374635604222,0.7210142548064484,0.03586970033411693,2.538295834054489,100.0,157,148,149,151,147,148
81,0.7068259519742105,0.7210142548064484,0.036231598618353296,2.5427402784989335,100.0,148,149,150,153,152,148
