generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
124,0.6109001279096581,0.6187651072299585,0.02598038847881779,2.24328497293857,99.33333333333333,7,149,145,150,150,299.0
125,0.6101122307609157,0.6187651072299585,0.024553556137808394,2.242740278498933,98.0,8,147,148,148,152,297.0
126,0.6091979358380166,0.6187651072299585,0.026264918838734212,2.2338513896100447,98.66666666666667,4,153,150,150,151,292.0
127,0.613693090052641,0.6187651072299585,0.01760330498664732,2.242740278498933,100.0,2,151,149,152,150,296.0
128,0.6099614915000522,0.6187651072299585,0.02529185391237123,2.240518056276711,99.33333333333333,7,151,147,153,146,296.0
129,0.6105830267363582,0.6217072108434799,0.023891458345174522,2.2560736118322664,100.0,7,154,149,149,150,291.0
130,0.6073544957024036,0.6217072108434799,0.027630272734172442,2.2277294173830144,98.0,4,156,149,151,147,293.0
131,0.6059516932957092,0.6217072108434799,0.031929987056470335,2.2285681812743072,98.66666666666667,6,163,147,153,147,284.0
132,0.6041531527631122,0.6217072108434799,0.030836110788753184,2.237457070163196,99.33333333333333,11,179,147,152,146,265.0
133,0.6099684677790734,0.6217072108434799,0.02345409311800015,2.2446684312694996,99.33333333333333,9,202,150,149,148,242.0
134,0.6113939590937321,0.6217072108434799,0.024407604012756868,2.2424462090472774,100.0,9,241,147,152,150,201.0
135,0.6128963939010524,0.6217072108434799,0.02263672714042372,2.2396792923854187,99.33333333333333,8,281,150,151,149,161.0
136,0.6089202429598484,0.6217072108434799,0.030160267507957243,2.226596584040066,100.0,6,300,145,152,148,149.0
137,0.6125032745569874,0.6217072108434799,0.024330257760463075,2.2349407784893183,100.0,6,297,153,152,146,146.0
138,0.6095057726199816,0.6464510193553217,0.027971253493681184,2.2199299173733995,100.0,3,297,148,150,149,153.0
139,0.6104527262272726,0.6464510193553217,0.030728552380500228,2.2107469590328543,100.0,4,301,147,151,148,149.0
140,0.6178570564264928,0.6464510193553217,0.02191055810712349,2.231879792375803,100.0,2,289,148,150,149,162.0
141,0.6196415634662739,0.6464510193553217,0.023754758335290633,2.238295834054489,100.0,5,263,152,150,150,180.0
142,0.6209649309194635,0.6464510193553217,0.031705284032987155,2.218840528494126,98.0,4,226,148,154,148,220.0
143,0.6291280576840697,0.6464510193553217,0.03112051602388684,2.2343960840496813,100.0,5,189,153,147,147,259.0
144,0.6327821668276628,0.6464510193553217,0.02973033688937675,2.2232849729385697,99.33333333333333,4,162,151,151,145,287.0
145,0.6364131492998175,0.6464510193553217,0.025349319677492998,2.237457070163196,100.0,8,152,150,149,147,294.0
146,0.6376730581075275,0.6464510193553217,0.02477835435027208,2.247184722943378,97.33333333333333,7,147,150,153,150,293.0
147,0.6373050813138417,0.6464510193553217,0.024790175292521213,2.2516291673878226,99.33333333333333,8,153,149,149,149,292.0
148,0.636796370764117,0.6487601334413411,0.02545564743398114,2.2396792923854187,99.33333333333333,4,156,153,147,148,292.0
149,0.6346715871158198,0.6487601334413411,0.028719549787802837,2.240518056276711,98.0,5,153,153,149,150,290.0
150,0.6368111516156225,0.6487601334413411,0.02600996308942653,2.247184722943378,99.33333333333333,4,151,150,153,151,291.0
151,0.6386637231404616,0.6487601334413411,0.023011207662307,2.247184722943378,99.33333333333333,5,153,150,150,150,292.0
152,0.6372341525138615,0.6487601334413411,0.026751186237100495,2.246345959052085,100.0,5,153,148,154,152,288.0
153,0.637862916519784,0.6487601334413411,0.023804285967994363,2.2338513896100447,99.33333333333333,6,155,152,146,147,294.0
154,0.6406457770893075,0.6487601334413411,0.02591519399007735,2.2285681812743072,98.66666666666667,1,151,147,154,147,300.0
155,0.6342598105429925,0.6487601334413411,0.03185472627188467,2.2360736118322664,98.66666666666667,8,150,149,154,149,290.0
156,0.6364754746758744,0.6487601334413411,0.027343073757803826,2.233012625718752,99.33333333333333,7,151,153,151,145,293.0
157,0.6399984405124018,0.6487601334413411,0.02487291040557795,2.242740278498933,100.0,4,157,147,150,148,294.0
158,0.6370567357093361,0.6487601334413411,0.03028690718204748,2.238295834054489,99.33333333333333,6,151,149,151,148,295.0
159,0.6359711485696616,0.6487601334413411,0.029874746326622133,2.238295834054489,99.33333333333333,9,151,148,150,149,293.0
160,0.6424919582805889,0.6487601334413411,0.019290566208767804,2.2427402784989336,99.33333333333333,1,150,150,154,150,295.0
161,0.6363373786103346,0.6487601334413411,0.028928819090773092,2.2360736118322664,99.33333333333333,6,157,149,153,145,290.0
162,0.6401991833245614,0.6487601334413411,0.02317646179260593,2.238295834054489,98.66666666666667,4,149,153,149,149,296.0
163,0.6380891796111933,0.6487601334413411,0.025778878225317596,2.2263459590520855,100.0,6,154,150,147,148,295.0
164,0.6351578068459056,0.6487601334413411,0.029186903426571823,2.237457070163196,99.33333333333333,9,151,146,156,146,292.0
